Timestamp,Run,Cross Validation Step,Global Step,Local Step,Test Type,Task17_Keras Dense14_target: sparse_categorical_crossentropy
2023-11-19 15:55:31.209501,0,-1,500,500,Test Log,0.23676353503184713
2023-11-19 15:55:47.817157,0,-1,1000,1000,Test Log,0.2662221337579618
2023-11-19 15:56:04.454463,0,-1,1500,1500,Test Log,0.3315087579617834
2023-11-19 15:56:26.303277,0,-1,2000,2000,Test Log,0.37091958598726116
2023-11-19 15:56:43.541040,0,-1,2500,2500,Test Log,0.4025676751592357
2023-11-19 15:57:00.238565,0,-1,3000,3000,Test Log,0.41779458598726116
2023-11-19 15:57:16.945191,0,-1,3500,3500,Test Log,0.44187898089171973
2023-11-19 15:57:37.157841,0,-1,4000,4000,Test Log,0.45203025477707004
2023-11-19 15:57:53.844528,0,-1,4500,4500,Test Log,0.460390127388535
2023-11-19 15:58:01.989500,0,-1,4692,4692,Test Log,0.464171974522293
2023-11-19 15:58:41.569323,1,-1,500,500,Test Log,0.25139331210191085
2023-11-19 15:58:58.171944,1,-1,1000,1000,Test Log,0.30613057324840764
2023-11-19 15:59:19.040946,1,-1,1500,1500,Test Log,0.34753184713375795
2023-11-19 15:59:39.971186,1,-1,2000,2000,Test Log,0.3457404458598726
2023-11-19 15:59:59.548297,1,-1,2500,2500,Test Log,0.37121815286624205
2023-11-19 16:00:16.185533,1,-1,3000,3000,Test Log,0.39470541401273884
2023-11-19 16:00:32.886108,1,-1,3500,3500,Test Log,0.4208797770700637
2023-11-19 16:00:53.387936,1,-1,4000,4000,Test Log,0.4419785031847134
2023-11-19 16:01:10.500583,1,-1,4500,4500,Test Log,0.45581210191082805
2023-11-19 16:01:19.361954,1,-1,4692,4692,Test Log,0.45481687898089174
2023-11-19 16:01:44.447324,2,-1,500,500,Test Log,0.2203423566878981
2023-11-19 16:02:05.043276,2,-1,1000,1000,Test Log,0.26313694267515925
2023-11-19 16:02:22.291518,2,-1,1500,1500,Test Log,0.3174761146496815
2023-11-19 16:02:42.805468,2,-1,2000,2000,Test Log,0.35370222929936307
2023-11-19 16:03:00.064106,2,-1,2500,2500,Test Log,0.38007563694267515
2023-11-19 16:03:21.602878,2,-1,3000,3000,Test Log,0.39798964968152867
2023-11-19 16:03:41.614233,2,-1,3500,3500,Test Log,0.4150079617834395
2023-11-19 16:04:01.437862,2,-1,4000,4000,Test Log,0.4238654458598726
2023-11-19 16:04:18.299769,2,-1,4500,4500,Test Log,0.4440684713375796
2023-11-19 16:04:26.488814,2,-1,4692,4692,Test Log,0.4541202229299363
