Timestamp,Run,Cross Validation Step,Global Step,Local Step,Total Loss,Average Loss,Learning Rate,Examples per Second,Seconds per Step
2023-11-19 10:13:17.089053,0,-1,100,100,486.8804626464844,7.607507,0.01,251.97153949964908,0.2514821188118812
2023-11-19 10:13:19.540322,0,-1,200,200,484.9369812011719,7.5771403,0.01,2610.8925621790186,0.02451269
2023-11-19 10:13:22.003374,0,-1,300,300,487.68975830078125,7.6201525,0.01,2598.4033623339506,0.02463051
2023-11-19 10:13:24.647239,0,-1,400,400,425.60125732421875,6.6500196,0.01,2420.6984849831592,0.026438649999999998
2023-11-19 10:13:27.797388,0,-1,500,500,395.3067626953125,6.176668,0.01,2031.650576417362,0.03150148
2023-11-19 10:13:34.225244,0,-1,600,600,350.9708251953125,5.483919,0.01,995.6658974629033,0.06427859
2023-11-19 10:13:36.692001,0,-1,700,700,223.9024658203125,3.498476,0.01,2594.499579812685,0.02466757
2023-11-19 10:13:39.215281,0,-1,800,800,282.0877990722656,4.407622,0.005,2536.3822232896164,0.02523279
2023-11-19 10:13:41.702009,0,-1,900,900,233.11058044433594,3.6423528,0.005,2573.6630624660197,0.02486728
2023-11-19 10:13:45.121183,0,-1,1000,1000,170.8338623046875,2.669279,0.005,1871.7987488780175,0.03419171
2023-11-19 10:13:51.126349,0,-1,1100,1100,298.4579772949219,4.663406,0.005,1065.7485243129709,0.060051690000000005
2023-11-19 10:13:53.599843,0,-1,1200,1200,188.78076171875,2.9496994,0.005,2587.4329996353335,0.02473494
2023-11-19 10:13:56.132335,0,-1,1300,1300,294.4042663574219,4.6000667,0.005,2527.154073081347,0.025324930000000002
2023-11-19 10:13:58.588771,0,-1,1400,1400,201.677490234375,3.1512108,0.005,2605.400669913647,0.02456436
2023-11-19 10:14:01.984736,0,-1,1500,1500,229.69638061523438,3.589006,0.005,1884.5906153865633,0.03395963
2023-11-19 10:14:07.884358,0,-1,1600,1600,295.804931640625,4.621952,0.0025,1084.8150805568423,0.058996230000000004
