Timestamp,Run,Cross Validation Step,Global Step,Local Step,Test Type,Task10_Keras Dense9_target: sparse_categorical_crossentropy
2023-11-19 10:13:31.055908,0,-1,500,500,Test Log,0.10031847133757962
2023-11-19 10:13:48.326242,0,-1,1000,1000,Test Log,0.10031847133757962
2023-11-19 10:14:05.249110,0,-1,1500,1500,Test Log,0.10031847133757962
2023-11-19 10:14:24.388158,0,-1,2000,2000,Test Log,0.10031847133757962
2023-11-19 10:14:44.788141,0,-1,2500,2500,Test Log,0.10031847133757962
2023-11-19 10:15:06.176631,0,-1,3000,3000,Test Log,0.10031847133757962
2023-11-19 10:15:26.118220,0,-1,3500,3500,Test Log,0.10031847133757962
2023-11-19 10:15:46.136433,0,-1,3910,3910,Test Log,0.10031847133757962
2023-11-19 10:16:40.566741,1,-1,500,500,Test Log,0.12091958598726114
2023-11-19 10:16:59.638500,1,-1,1000,1000,Test Log,0.10270700636942676
2023-11-19 10:17:16.991710,1,-1,1500,1500,Test Log,0.1022093949044586
2023-11-19 10:17:37.488941,1,-1,2000,2000,Test Log,0.18411624203821655
2023-11-19 10:17:59.176809,1,-1,2500,2500,Test Log,0.10031847133757962
2023-11-19 10:18:17.333483,1,-1,3000,3000,Test Log,0.10021894904458599
2023-11-19 10:18:36.681285,1,-1,3500,3500,Test Log,0.09982085987261147
2023-11-19 10:18:51.977783,1,-1,3910,3910,Test Log,0.10041799363057324
2023-11-19 10:20:00.876871,2,-1,500,500,Test Log,0.10031847133757962
2023-11-19 10:20:17.255749,2,-1,1000,1000,Test Log,0.10031847133757962
2023-11-19 10:20:33.636188,2,-1,1500,1500,Test Log,0.10031847133757962
2023-11-19 10:20:49.999068,2,-1,2000,2000,Test Log,0.10031847133757962
2023-11-19 10:21:11.554948,2,-1,2500,2500,Test Log,0.10031847133757962
2023-11-19 10:21:30.897847,2,-1,3000,3000,Test Log,0.10031847133757962
2023-11-19 10:21:51.384656,2,-1,3500,3500,Test Log,0.10031847133757962
2023-11-19 10:22:13.186917,2,-1,3910,3910,Test Log,0.10031847133757962
