Timestamp,Run,Cross Validation Step,Global Step,Local Step,Total Loss,Average Loss,Learning Rate,Examples per Second,Seconds per Step
2023-11-19 10:52:43.598590,1,-1,600,600,147.3585968017578,2.302478,0.01,299.53064483986856,0.21366762
2023-11-19 10:52:46.309281,1,-1,700,700,147.36544799804688,2.3025851,0.01,2361.0224702935416,0.0271069
2023-11-19 10:52:48.935441,1,-1,800,800,147.61795043945312,2.3065305,0.005,2437.0183081000396,0.0262616
2023-11-19 10:52:52.724052,1,-1,900,900,147.36544799804688,2.3025851,0.005,1689.2743484482035,0.037886090000000004
2023-11-19 10:52:56.427557,1,-1,1000,1000,147.36544799804688,2.3025851,0.005,1728.0917789543803,0.03703507
2023-11-19 10:53:04.081237,1,-1,1100,1100,147.32540893554688,2.3019595,0.005,836.1992756946398,0.07653678
2023-11-19 10:53:07.265883,1,-1,1200,1200,147.36544799804688,2.3025851,0.005,2009.6425159970686,0.03184646
2023-11-19 10:53:11.400846,1,-1,1300,1300,147.36050415039062,2.3025079,0.005,1547.7764739910674,0.04134964
2023-11-19 10:53:14.099988,1,-1,1400,1400,147.36544799804688,2.3025851,0.005,2371.122982368848,0.026991429999999997
2023-11-19 10:53:16.859597,1,-1,1500,1500,147.36289978027344,2.3025453,0.005,2319.1699690680707,0.027596080000000002
2023-11-19 10:53:21.641502,1,-1,1600,1600,147.36520385742188,2.3025813,0.0025,1338.37930213139,0.04781903
2023-11-19 10:53:25.563500,1,-1,1700,1700,147.36544799804688,2.3025851,0.0025,1631.820499745028,0.039220000000000005
2023-11-19 10:53:29.118118,1,-1,1800,1800,147.33761596679688,2.3021502,0.0025,1800.4742561720398,0.035546190000000005
2023-11-19 10:53:31.693814,1,-1,1900,1900,147.36544799804688,2.3025851,0.0025,2484.765282859468,0.025756960000000002
2023-11-19 10:53:34.309967,1,-1,2000,2000,147.36544799804688,2.3025851,0.0025,2446.340103197328,0.026161530000000002
2023-11-19 10:53:39.294572,1,-1,2100,2100,147.36544799804688,2.3025851,0.0025,1283.9535497704533,0.04984604
