Timestamp,Run,Cross Validation Step,Global Step,Local Step,Test Type,Task17_Keras Dense14_target: sparse_categorical_crossentropy
2023-11-19 11:51:38.650225,0,-1,500,500,Test Log,0.26383359872611467
2023-11-19 11:51:56.184599,0,-1,1000,1000,Test Log,0.2900079617834395
2023-11-19 11:52:13.450385,0,-1,1500,1500,Test Log,0.3301154458598726
2023-11-19 11:52:32.449501,0,-1,2000,2000,Test Log,0.381468949044586
2023-11-19 11:52:52.928938,0,-1,2500,2500,Test Log,0.39928343949044587
2023-11-19 11:53:09.533594,0,-1,3000,3000,Test Log,0.4137141719745223
2023-11-19 11:53:26.069313,0,-1,3500,3500,Test Log,0.430234872611465
2023-11-19 11:53:47.968397,0,-1,3910,3910,Test Log,0.43531050955414013
2023-11-19 11:54:27.595090,1,-1,500,500,Test Log,0.2157643312101911
2023-11-19 11:54:44.519788,1,-1,1000,1000,Test Log,0.3122014331210191
2023-11-19 11:55:05.950597,1,-1,1500,1500,Test Log,0.35370222929936307
2023-11-19 11:55:26.204003,1,-1,2000,2000,Test Log,0.38525079617834396
2023-11-19 11:55:45.908372,1,-1,2500,2500,Test Log,0.3872412420382166
2023-11-19 11:56:03.074110,1,-1,3000,3000,Test Log,0.4161027070063694
2023-11-19 11:56:19.941740,1,-1,3500,3500,Test Log,0.43083200636942676
2023-11-19 11:56:34.557985,1,-1,3910,3910,Test Log,0.431031050955414
2023-11-19 11:56:58.775700,2,-1,500,500,Test Log,0.2005374203821656
2023-11-19 11:57:17.468346,2,-1,1000,1000,Test Log,0.30115445859872614
2023-11-19 11:57:36.934434,2,-1,1500,1500,Test Log,0.3388734076433121
2023-11-19 11:57:54.106876,2,-1,2000,2000,Test Log,0.3652468152866242
2023-11-19 11:58:11.199776,2,-1,2500,2500,Test Log,0.3996815286624204
2023-11-19 11:58:28.245121,2,-1,3000,3000,Test Log,0.4166998407643312
2023-11-19 11:58:45.146081,2,-1,3500,3500,Test Log,0.42595541401273884
2023-11-19 11:59:05.811005,2,-1,3910,3910,Test Log,0.43968949044585987
